year,state_abbr,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
1979,AK,406000,1994,54,445,1203,23193,5616,15076,2501
1980,AK,440142,1919,39,360,1270,22930,5545,14916,2469
1981,AK,412000,2537,60,472,1584,24634,5479,16310,2845
1982,AK,438000,2732,81,586,1691,24479,5204,16672,2603
1983,AK,479000,2940,66,465,1923,25889,5720,17085,3084
1984,AK,500000,3108,58,547,2045,27468,6184,18140,3144
1985,AK,521000,3031,51,484,2094,27588,6209,18220,3159
1986,AK,534000,3046,46,470,2142,30307,6204,20879,3224
1987,AK,525000,2391,53,384,1613,25841,5093,18195,2553
1988,AK,513000,2682,29,374,1983,22566,4321,15911,2334
1989,AK,527000,2623,42,356,1946,22567,4358,15811,2398
1990,AK,550043,2885,41,422,2021,25457,4919,17428,3110
1991,AK,570000,3499,42,645,2289,29000,5582,20375,3043
1992,AK,587000,3877,44,640,2614,28816,5170,20728,2918
1993,AK,599000,4557,54,733,3268,28795,4893,21201,2701
1994,AK,606000,4644,38,886,3302,29947,4848,21824,3275
1995,AK,604000,4656,55,937,3179,30097,5055,21891,3151
1996,AK,607000,4417,45,710,3264,28667,5118,20557,2992
1997,AK,609000,4270,54,648,3165,27840,4276,20780,2784
1998,AK,614000,4015,41,532,3021,25316,4098,18611,2607
1999,AK,619500,3908,52,566,2773,23099,3787,16654,2658
2000,AK,626932,3554,27,490,2540,23087,3899,16838,2350
2001,AK,633630,3735,39,514,2681,23160,3847,16695,2618
2002,AK,641482,3627,33,489,2594,24118,3908,17739,2471
2003,AK,648280,3877,39,446,2787,24386,3874,18051,2461
2004,AK,657755,4159,37,447,3117,22172,3773,16159,2240
2005,AK,663253,4194,32,537,3087,23975,4131,17249,2595
2006,AK,670053,4610,36,600,3462,23975,4155,17284,2536
2007,AK,683478,4520,43,581,3351,23096,3734,16929,2433
2008,AK,686293,4475,27,645,3356,20090,3237,15225,1628
2009,AK,698473,4424,22,654,3235,20538,3600,15251,1687
2010,AK,714146,4537,31,594,3379,20259,3105,15535,1619
2011,AK,723860,4416,30,576,3374,19094,2852,14854,1388
2012,AK,730307,4412,30,630,3169,20037,2950,15565,1522
2013,AK,737259,4709,34,623,3127,21211,2917,16599,1695
2014,AK,737046,4684,41,629,3243,20334,3150,15445,1739
2015,AK,737709,5391,59,761,3671,20806,3511,15249,2046
2016,AK,741522,5966,52,850,4011,24876,4053,17766,3057
2017,AK,739786,6338,62,952,4250,26203,4167,17782,4254
2018,AK,737438,6526,47,896,4391,24339,3979,16364,3996
1979,AL,3769000,15578,496,4127,9918,144372,48517,83791,12064
1980,AL,3861466,17320,509,5102,10551,173191,58952,102029,12210
1981,AL,3916000,18423,465,4952,11985,173411,56811,105471,11129
1982,AL,3943000,17653,417,4417,11793,165048,49531,104740,10777
1983,AL,3959000,16471,364,3895,11281,145890,42485,94279,9126
1984,AL,3990000,17204,374,3833,11995,138487,39970,89198,9319
1985,AL,4021000,18398,396,4237,12686,140115,41612,88108,10395
1986,AL,4053000,22616,409,4523,16534,151191,46974,93396,10821
1987,AL,4083000,22833,380,4581,16735,158918,48927,99260,10731
1988,AL,4127000,23052,408,4860,16556,165209,50920,103282,11007
1989,AL,4118000,24329,421,5515,17117,166244,47224,106771,12249
1990,AL,4040587,28630,467,5805,21039,169974,44585,111336,14053
1991,AL,4089000,34518,469,6246,26348,184882,51873,118151,14858
1992,AL,4136000,36052,455,6819,27074,181837,49053,117801,14983
1993,AL,4187000,32676,484,6677,24044,171598,45578,111878,14142
1994,AL,4219000,28844,501,7223,19633,178015,44064,119951,14000
1995,AL,4253000,26894,475,7900,17169,179294,43586,120967,14741
1996,AL,4273000,24159,444,7124,15194,181803,42821,123350,15632
1997,AL,4319000,24379,426,6931,15626,186809,43786,127616,15407
1998,AL,4352000,22286,354,5698,14791,177779,41965,120943,14871
1999,AL,4369862,21421,345,5297,14266,171398,38648,119616,13134
2000,AL,4447100,21620,329,5702,14107,180539,40331,127399,12809
2001,AL,4468912,19582,379,5584,12250,173253,40642,119992,12619
2002,AL,4478896,19931,303,5962,12002,180400,42578,123932,13890
2003,AL,4503726,19331,299,6038,11338,182241,43245,124039,14957
2004,AL,4525375,19324,254,6042,11286,182340,44666,123650,14024
2005,AL,4548327,19678,374,6447,11293,177393,43473,120780,13140
2006,AL,4599030,19553,382,7062,10463,181249,44780,121451,15018
2007,AL,4627851,20775,412,7398,11417,184082,45379,124465,14238
2008,AL,4661900,21110,351,7346,11795,190416,50411,126539,13466
2009,AL,4708708,21194,322,6265,13103,178007,48844,118072,11091
2010,AL,4785401,18363,275,4864,11869,168828,42484,115564,10780
2011,AL,4803689,20166,299,4906,13591,173192,51119,111411,10662
2012,AL,4817528,21693,342,5020,15035,168878,47481,111523,9874
2013,AL,4833996,20834,346,4645,13788,161835,42410,108862,10563
2014,AL,4846411,20727,276,4702,13744,154087,39723,104223,10141
2015,AL,4853875,22957,348,4612,15960,144785,35265,99182,10338
2016,AL,4860545,25878,407,4687,18869,143259,34045,97498,11716
2017,AL,4875120,25469,419,4233,18816,143774,31270,99707,12797
2018,AL,4887871,25399,383,4076,18944,137700,28841,95747,13112
1979,AR,2180000,7984,198,1626,5565,70949,21457,45267,4225
1980,AR,2284037,7656,210,1848,4989,79390,25559,49558,4273
1981,AR,2294000,7119,209,1776,4557,79972,24732,50959,4281
1982,AR,2291000,7438,187,1805,4824,81259,24547,52450,4262
1983,AR,2328000,6930,178,1614,4552,74563,22380,48140,4043
1984,AR,2349000,7549,176,1587,5089,71554,20810,46807,3937
1985,AR,2359000,8199,187,1617,5709,76372,22207,49957,4208
1986,AR,2372000,9365,191,1890,6598,83729,24429,54677,4623
1987,AR,2388000,9839,182,1890,6988,91537,25743,60862,4932
1988,AR,2422000,10237,211,2037,7209,91962,26443,60363,5156
1989,AR,2406000,11397,203,2660,7610,98213,28738,63084,6391
1990,AR,2350725,12511,241,2661,8590,101897,28464,66630,6803
1991,AR,2372000,14072,264,3217,9533,108677,29093,71487,8097
1992,AR,2399000,13831,259,3011,9571,100402,26214,66288,7900
1993,AR,2424000,14381,247,3027,10079,102231,26646,67767,7818
1994,AR,2453000,14598,294,3158,10118,103115,26911,68478,7726
1995,AR,2484000,13741,259,3122,9435,102780,24763,69935,8082
1996,AR,2510000,13161,219,2864,9032,104790,23925,73010,7855
1997,AR,2523000,13293,250,2814,9131,105759,25568,72253,7938
1998,AR,2538000,12442,201,2442,8906,96271,23559,65525,7187
1999,AR,2551373,10848,143,2024,7971,92283,21692,63927,6664
2000,AR,2673400,11904,168,2001,8887,98115,21443,69740,6932
2001,AR,2694698,12190,148,2181,8969,99106,22196,69590,7320
2002,AR,2706268,11501,142,2524,8081,101171,23229,71129,6813
2003,AR,2727774,12449,180,2227,9131,99084,25016,68061,6007
2004,AR,2750000,13814,176,2372,10083,110911,30151,74242,6518
2005,AR,2775708,14670,189,2532,10747,112914,30118,75510,7286
2006,AR,2810872,15538,205,2749,11259,112025,31864,72646,7515
2007,AR,2834797,15226,198,3105,10629,112130,32035,73096,6999
2008,AR,2855390,14649,165,2777,10244,110360,33912,69905,6543
2009,AR,2889450,14905,179,2576,10772,109078,34753,68228,6097
2010,AR,2921588,14711,134,2369,10887,103820,32463,65796,5561
2011,AR,2938582,14173,160,2357,10426,110430,34016,70645,5769
2012,AR,2949828,13851,174,2310,10134,109389,32673,70982,5734
2013,AR,2958765,13705,158,2261,9796,106477,30369,70430,5678
2014,AR,2966835,14248,175,2037,10220,99452,24816,69001,5635
2015,AR,2977853,15769,189,2117,11455,97391,22851,68720,5820
2016,AR,2988231,16563,217,2125,12007,98092,23814,67091,7187
2017,AR,3002997,16996,249,1998,12609,94419,22369,64795,7255
2018,AR,3013825,16384,216,1594,12378,87793,19193,61487,7113
1979,AZ,2450000,14528,219,4305,8884,177977,48916,116976,12085
1980,AZ,2715357,17673,279,5258,10909,204193,58527,132814,12852
1981,AZ,2793000,16082,227,4961,9830,196575,57655,127469,11451
1982,AZ,2860000,14785,236,4537,8912,189161,53861,124723,10577
1983,AZ,2963000,14642,213,3923,9265,174740,49440,114721,10579
1984,AZ,3053000,15756,238,4003,10199,182670,52327,118604,11739
1985,AZ,3187000,19202,254,4670,12820,207591,59585,135720,12286
1986,AZ,3317000,21835,307,5614,14489,221015,63278,143845,13892
1987,AZ,3386000,20742,253,4687,14406,222663,55059,153296,14308
1988,AZ,3466000,21147,294,4750,14758,237808,54773,167121,15914
1989,AZ,3556000,21320,237,4944,14853,265284,59284,181574,24426
1990,AZ,3665228,23911,284,5897,16230,265229,61206,172375,31648
1991,AZ,3750000,25152,291,6215,17056,252559,60281,159987,32291
1992,AZ,3832000,25706,312,5867,17880,243629,54095,158053,31481
1993,AZ,3936000,28142,339,6412,19903,264371,57684,172689,33998
1994,AZ,4075000,28653,426,6601,20161,294273,60157,190649,43467
1995,AZ,4218000,30095,439,7329,20909,316355,59762,207763,48830
1996,AZ,4428000,27963,377,7429,18776,284964,55630,188300,41034
1997,AZ,4555000,28411,375,7547,18997,299323,60077,195045,44201
1998,AZ,4669000,26984,376,7715,17442,280001,56473,183137,40391
1999,AZ,4778332,26334,384,7288,17279,255401,49423,167731,38247
2000,AZ,5130632,27281,359,7504,17841,271811,51902,176705,43204
2001,AZ,5306966,28675,400,8868,17889,293874,54821,186850,52203
2002,AZ,5441125,30171,387,8000,20176,318296,59087,201541,57668
2003,AZ,5579222,28638,441,7619,18722,314335,58613,198725,56997
2004,AZ,5739879,28952,414,7721,18921,291203,56885,179012,55306
2005,AZ,5953007,30478,445,8579,19448,287345,56328,176112,54905
2006,AZ,6166318,33456,533,9491,20983,294389,59418,178321,56650
2007,AZ,6338755,32835,548,9764,20170,287308,59988,177076,50244
2008,AZ,6500180,31567,462,9809,19096,266653,58606,169460,38587
2009,AZ,6595778,28128,380,8199,17270,236721,54308,155976,26437
2010,AZ,6413158,26528,408,6953,16976,226802,50932,154137,21733
2011,AZ,6467315,26789,397,7145,16748,229896,54695,155400,19801
2012,AZ,6551149,28077,358,7383,18054,231701,52911,159808,18982
2013,AZ,6634997,27576,355,6656,17391,223294,48292,158036,16966
2014,AZ,6728783,26422,311,6225,16614,213406,43412,152683,17311
2015,AZ,6817565,27968,306,6360,18193,207184,38010,152388,16786
2016,AZ,6908642,32542,389,7045,21804,207317,38216,150618,18483
2017,AZ,7048876,35647,422,7440,24163,204999,37722,148251,19026
2018,AZ,7171646,34058,369,6523,23528,191974,31532,141303,19139
1979,CA,22696000,184087,2952,75767,93129,1511021,496310,847148,167563
1980,CA,23532680,210290,3411,90420,102766,1633042,545138,913070,174834
1981,CA,24159000,208485,3143,93781,97995,1625302,540806,921939,162557
1982,CA,24724000,201429,2779,91988,94133,1599827,499466,935831,164530
1983,CA,25174000,194491,2639,85826,93933,1486487,460460,867123,158904
1984,CA,25622000,195589,2717,83924,97246,1461731,443094,857328,161309
1985,CA,26365000,201763,2770,86387,101185,1516710,448506,890967,177237
1986,CA,26981000,248370,3038,92512,140701,1576299,457698,913004,205597
1987,CA,27663000,253943,2924,83341,155569,1545928,419969,896335,229624
1988,CA,28168000,261912,2936,86141,161055,1607180,407631,933636,265913
1989,CA,29063000,284136,3158,96431,172581,1681516,410468,972603,298445
1990,CA,29760021,311051,3553,112208,182602,1654186,400392,951580,302214
1991,CA,30380000,331122,3859,124939,189428,1726391,424656,986120,315615
1992,CA,30867000,345624,3921,130897,198045,1716137,427491,968534,320112
1993,CA,31211000,336381,4096,126436,194083,1678884,414182,945407,319295
1994,CA,31431000,318395,3703,112160,191548,1622102,384257,929640,308205
1995,CA,31589000,305154,3531,104611,186458,1536830,353895,902456,280479
1996,CA,31878000,274996,2916,94222,167614,1385135,312212,830457,242466
1997,CA,32268000,257582,2579,81468,163346,1312367,299240,784405,228722
1998,CA,32667000,229883,2171,68782,149148,1188791,269012,724262,195517
1999,CA,33145121,207879,2005,60039,136472,1053285,223814,660991,168480
2000,CA,33871648,210531,2079,60249,138418,1056183,222293,651855,182035
2001,CA,34600463,212867,2206,64614,136087,1134189,232273,697739,204177
2002,CA,35001986,208388,2395,64968,130827,1176484,238428,715692,222364
2003,CA,35462712,205551,2407,63770,129380,1215086,242274,731486,241326
2004,CA,35842038,189175,2392,61768,115400,1227194,245903,728687,252604
2005,CA,36154147,190178,2503,63622,114661,1200531,250521,692467,257543
2006,CA,36457549,194483,2486,71142,111620,1159988,247230,669103,243655
2007,CA,36553215,191561,2262,70706,109547,1112510,237850,654526,220134
2008,CA,36756666,185329,2142,69388,104896,1080996,237811,650656,192529
2009,CA,36961664,174934,1972,64093,100156,1009433,230198,615402,163833
2010,CA,37338198,164133,1809,58116,95877,981939,228857,600558,152524
2011,CA,37683933,154943,1792,54291,91195,973822,230075,596905,146842
2012,CA,37999878,160944,1884,56521,94702,1049465,245767,635090,168608
2013,CA,38431393,154739,1746,53640,89029,1018907,232058,621557,165292
2014,CA,38792291,153763,1700,48681,91804,947193,202669,592673,151851
2015,CA,38993940,166883,1861,52862,99349,1024914,197404,656517,170993
2016,CA,39296476,174796,1930,54789,104375,1002070,188304,637010,176756
2017,CA,39399349,178597,1830,56625,105418,987063,176679,642019,168365
2018,CA,39557045,176982,1739,54326,105412,941618,164632,621775,155211
1979,CO,2772000,14472,161,4353,8486,180984,49741,117898,13345
1980,CO,2878407,15215,198,4608,8899,195872,58455,124514,12903
1981,CO,2963000,15755,239,4726,9438,202119,60197,129658,12264
1982,CO,3045000,15354,182,4587,9229,200230,53260,134873,12097
1983,CO,3139000,14955,202,3968,9469,193070,48101,133271,11698
1984,CO,3178000,14548,184,3623,9503,191104,49619,128859,12626
1985,CO,3231000,15219,189,4012,9697,208336,56480,137868,13988
1986,CO,3267000,17105,230,4731,10762,212626,58531,138219,15876
1987,CO,3296000,15409,191,3916,9958,197225,50580,132266,14379
1988,CO,3290000,15548,187,3250,10842,187719,45503,128331,13885
1989,CO,3317000,15636,146,2984,11304,184692,41475,128195,15022
1990,CO,3294394,17328,138,2985,12684,182106,39822,128172,14112
1991,CO,3377000,18887,199,3628,13472,186235,39117,132717,14401
1992,CO,3470000,20086,216,4180,14049,186684,37853,131169,17662
1993,CO,3566000,20229,206,4160,14230,176856,36011,124787,16058
1994,CO,3656000,18632,199,3910,12944,175808,33843,127600,14365
1995,CO,3747000,16494,216,3604,11194,185705,35001,136184,14520
1996,CO,3823000,15463,180,3755,9763,180218,34436,130576,15206
1997,CO,3893000,14139,157,3242,9063,166902,30994,119801,16107
1998,CO,3971000,15008,183,3238,9704,163189,31231,115871,16087
1999,CO,4056133,13811,185,3056,8891,151002,26979,109228,14795
2000,CO,4301261,14367,134,3034,9425,156937,27133,112843,16961
2001,CO,4430989,15492,158,3555,9849,170887,28533,121360,20994
2002,CO,4501051,15882,179,3579,10058,180054,31678,125193,23183
2003,CO,4547633,15757,185,3738,9921,179706,32394,124496,22816
2004,CO,4601821,17121,201,3739,11236,180322,33010,123308,24004
2005,CO,4663295,18498,173,3948,12351,188449,34746,127602,26101
2006,CO,4753377,18794,171,3824,12641,163439,32411,110372,20656
2007,CO,4861515,17101,155,3461,11410,145808,28633,100519,16656
2008,CO,4939456,17480,165,3404,11760,139340,28054,97937,13349
2009,CO,5024748,17022,159,3371,11223,134196,26637,95079,12480
2010,CO,5047692,16339,129,3164,10816,135001,26196,97534,11271
2011,CO,5116302,16085,155,3299,10346,132781,25725,96054,11002
2012,CO,5189458,15951,152,3392,10285,139355,26163,101091,12101
2013,CO,5272086,16099,174,3136,9826,139974,25075,102375,12524
2014,CO,5355588,16487,150,3037,10211,135789,23502,99688,12599
2015,CO,5448819,17348,173,3315,10532,144044,23490,104532,16022
2016,CO,5530105,19030,189,3525,11681,152146,23825,108680,19641
2017,CO,5615902,20901,222,3868,12790,152032,22618,107470,21944
2018,CO,5695564,22624,210,3797,14547,152163,21371,109119,21673
1979,CT,3115000,12902,131,6021,5998,167131,48229,96997,21905
1980,CT,3095224,12768,146,6749,5203,169283,52638,95631,21014
1981,CT,3132000,14033,168,7709,5469,168790,52990,96927,18873
1982,CT,3153000,12597,164,6574,5167,158532,44481,96640,17411
1983,CT,3138000,11767,129,6296,4715,144437,39988,89421,15028
1984,CT,3154000,12422,122,6009,5532,133573,35607,84630,13336
1985,CT,3174000,12758,120,6032,5843,136572,36041,86524,14007
1986,CT,3189000,13578,148,6129,6541,140411,38190,87963,14258
1987,CT,3211000,13455,156,5720,6779,146958,39120,90852,16986
1988,CT,3241000,14759,174,6080,7656,150455,39477,91079,19899
1989,CT,3239000,16576,190,6956,8538,154119,40035,91483,22601
1990,CT,3287116,18201,166,7717,9400,158867,40355,94485,24027
1991,CT,3291000,17761,187,7384,9230,158770,39198,93384,26188
1992,CT,3281000,16252,166,6918,8284,149535,36372,89463,23700
1993,CT,3277000,14949,206,6447,7496,137443,32052,85876,19515
1994,CT,3275000,14916,215,6150,7745,134030,29142,84721,20167
1995,CT,3275000,13293,150,5345,7022,134188,29095,87401,17692
1996,CT,3274000,13490,158,5552,7025,124924,27574,81328,16022
1997,CT,3270000,12781,124,4999,6918,117505,24143,78821,14541
1998,CT,3274000,11993,135,4379,6751,111978,21801,77472,12705
1999,CT,3282031,11342,107,4054,6527,99894,19298,69299,11297
2000,CT,3405565,11058,98,3832,6450,99033,17436,68498,13099
2001,CT,3434602,11492,105,4183,6565,95299,17159,65762,12378
2002,CT,3458587,10807,84,4069,5914,93426,17111,64735,11580
2003,CT,3486960,11045,112,4212,6023,92981,16043,65568,11370
2004,CT,3498966,10113,100,4188,5070,93942,15959,66770,11213
2005,CT,3500701,9542,105,3933,4792,90270,15245,64416,10609
2006,CT,3504809,10505,137,4460,5212,90638,15583,64765,10290
2007,CT,3502309,10547,113,4303,5441,86528,15640,60937,9951
2008,CT,3501252,10737,132,4043,5882,87210,15107,63212,8891
2009,CT,3518288,10588,106,4001,5824,82625,15172,59992,7461
2010,CT,3575498,10083,133,3553,5802,78259,15145,56413,6701
2011,CT,3586717,9889,129,3689,5382,77205,15468,55067,6670
2012,CT,3591765,10183,117,3709,5424,77169,14787,55904,6478
2013,CT,3599341,9439,91,3551,4906,71274,12934,52099,6241
2014,CT,3594762,8575,89,3172,4520,69326,12017,51195,6114
2015,CT,3584730,7938,116,2925,4099,65610,10286,48898,6426
2016,CT,3587685,8169,79,2711,4588,64875,10107,47642,7126
2017,CT,3573880,8190,105,2813,4422,63646,8906,47418,7322
2018,CT,3572665,7411,83,2194,4294,60055,7948,44724,7383
1979,DC,656000,10553,180,6920,2964,45877,13452,28819,3606
1980,DC,635233,12772,200,8897,3236,50896,16260,31068,3568
1981,DC,636000,14468,223,10399,3432,53442,16832,32845,3765
1982,DC,631000,13397,194,9137,3645,52295,14774,33435,4086
1983,DC,623000,11933,183,7698,3646,45843,12483,29405,3955
1984,DC,623000,10725,175,6087,4097,42799,10954,27471,4374
1985,DC,626000,10171,147,5230,4457,39904,10005,24874,5025
1986,DC,626000,9423,194,4720,4181,42781,10815,25861,6105
1987,DC,622000,10016,225,4462,5084,42553,11244,25012,6297
1988,DC,620000,11914,369,5690,5690,49557,12300,28624,8633
1989,DC,604000,12937,434,6542,5775,49235,11780,29164,8291
1990,DC,606900,14919,472,7365,6779,50470,12035,30326,8109
1991,DC,598000,14671,482,7269,6706,49722,12405,29182,8135
1992,DC,589000,16685,443,7459,8568,50502,10721,30663,9118
1993,DC,578000,16888,454,7107,9003,51091,11534,31495,8062
1994,DC,570000,15177,399,6311,8218,48009,10037,29711,8261
1995,DC,554000,14744,360,6864,7228,52697,10185,32319,10193
1996,DC,543000,13411,397,6444,6310,51188,9828,31385,9975
1997,DC,529000,10708,301,4501,5688,41341,6963,26809,7569
1998,DC,523000,8988,260,3606,4932,37222,6361,24360,6501
1999,DC,519000,8448,241,3344,4615,33420,5067,21701,6652
2000,DC,572059,8626,239,3554,4582,33000,4745,21655,6600
2001,DC,573822,9195,231,3780,5003,35232,4949,22313,7970
2002,DC,569157,9322,264,3834,4962,36477,5170,21708,9599
2003,DC,557620,9061,249,3941,4597,32696,4671,18119,9906
2004,DC,554239,7590,198,3202,3968,26896,3946,14542,8408
2005,DC,582049,8032,195,3700,3971,26133,3577,14836,7720
2006,DC,581530,8772,169,3829,4589,27064,3835,15908,7321
2007,DC,588292,8325,181,4265,3687,28922,3926,17390,7606
2008,DC,591833,8509,186,4430,3707,30211,3788,19958,6465
2009,DC,599657,8089,145,4404,3390,28495,3696,19267,5532
2010,DC,604912,8026,132,4325,3382,28802,4233,19514,5055
2011,DC,619020,7433,108,4094,3058,29654,3850,21347,4457
2012,DC,633427,7866,88,4037,3505,30757,3519,23575,3663
2013,DC,649111,8415,103,4082,3835,31097,3316,24547,3234
2014,DC,659836,8199,105,3497,4125,34147,3466,26898,3783
2015,DC,670377,8538,162,3746,4136,31444,2971,25208,3265
2016,DC,684336,8236,136,3500,4067,32377,2361,27089,2927
2017,DC,695691,6976,116,2625,3791,29736,1809,25340,2587
2018,DC,702455,6996,160,2415,3971,30724,1788,26343,2593
1979,DE,582000,3127,33,753,2179,34853,8890,23081,2882
1980,DE,594779,2824,41,815,1824,37482,9698,25077,2707
1981,DE,598000,3044,40,844,1990,36958,9627,24759,2572
1982,DE,602000,3370,32,737,2415,35067,8698,23891,2478
1983,DE,606000,2746,25,699,1793,30378,7414,20908,2056
1984,DE,613000,2671,25,711,1635,28021,6678,19747,1596
1985,DE,622000,2695,30,773,1596,28164,6826,19638,1700
1986,DE,633000,2703,31,786,1526,27881,6598,19562,1721
1987,DE,644000,2774,33,789,1511,29032,6572,20453,2007
1988,DE,660000,2981,34,784,1672,28693,6868,19824,2001
1989,DE,673000,3745,34,934,2208,28998,6072,20294,2632
1990,DE,666168,4365,33,1098,2647,31344,6465,21922,2957
1991,DE,680000,4857,37,1460,2772,35055,7668,24836,2551
1992,DE,689000,4280,32,1042,2615,29126,6598,20419,2109
1993,DE,700000,4801,35,1307,2920,29304,6244,20853,2207
1994,DE,706000,4549,33,1141,2829,29971,6198,20828,2945
1995,DE,717000,5198,25,1425,3173,31790,6491,22329,2970
1996,DE,725000,4845,31,1304,3056,30643,5830,21665,3148
1997,DE,732000,5753,22,1783,3520,36578,6421,25904,4253
1998,DE,744000,5672,21,1445,3707,34230,6395,24649,3186
1999,DE,753538,5534,24,1492,3489,30922,5245,22634,3043
2000,DE,783600,5363,25,1394,3520,29727,5216,21360,3151
2001,DE,796599,4868,23,1156,3269,27399,5144,19476,2779
2002,DE,805945,4836,26,1154,3298,26967,5355,18555,3057
2003,DE,818166,5525,21,1441,3693,27943,6066,18933,2944
2004,DE,830069,5105,28,1343,3377,27256,5669,19285,2302
2005,DE,841741,5332,37,1306,3612,26245,5811,18085,2349
2006,DE,853476,5983,42,1791,3733,29670,6337,20449,2884
2007,DE,864764,6100,39,1763,3957,29216,6420,20454,2342
2008,DE,873092,6187,57,1847,3912,31385,6783,22045,2557
2009,DE,885122,5713,41,1680,3597,29685,6943,20836,1906
2010,DE,899792,5608,51,1839,3392,31078,7550,21593,1935
2011,DE,908137,5144,48,1558,3231,31163,7617,22001,1545
2012,DE,917053,5048,56,1498,3245,30707,7389,21880,1438
2013,DE,925240,4633,41,1233,2960,29001,6299,21347,1355
2014,DE,935968,4568,50,1271,2857,27915,5765,20885,1265
2015,DE,944076,4760,62,1240,3097,25545,4797,19555,1193
2016,DE,952698,4859,58,1359,3131,26370,5028,19812,1530
2017,DE,957078,4377,51,1082,2893,23430,3960,18108,1362
2018,DE,967171,4097,48,866,2845,22481,3158,17847,1476
1979,FL,8860000,73881,1084,22097,46124,607281,190884,378099,38298
1980,FL,9567112,94095,1387,34015,53254,709730,239825,424223,45682
1981,FL,10166000,98109,1522,35473,55407,718470,241536,431222,45712
1982,FL,10416000,93411,1409,31002,55413,684166,211932,427462,44772
1983,FL,10680000,88292,1199,28126,53797,635934,191902,400796,43236
1984,FL,10976000,95270,1264,30311,58125,653429,198446,408153,46830
1985,FL,11366000,106971,1296,35506,64165,753918,228402,465792,59724
1986,FL,11675000,121013,1371,42822,70668,839651,259331,510496,69824
1987,FL,12023000,123168,1371,42869,72896,899167,271346,546466,81355
1988,FL,12377000,138343,1416,49916,80857,967869,283960,589215,94694
1989,FL,12671000,140575,1405,51188,81683,975042,289254,583702,102086
1990,FL,12937926,160990,1379,53928,98902,978944,280832,591210,106902
1991,FL,13277000,157243,1248,53083,96047,977570,266313,607222,104035
1992,FL,13488000,162827,1208,49482,104827,964533,254755,598093,111685
1993,FL,13679000,164975,1224,48913,107479,977363,251063,603784,122516
1994,FL,13953000,160016,1165,45871,105679,991105,237341,626578,127186
1995,FL,14166000,151711,1037,42485,101302,939288,215657,612311,111320
1996,FL,14400000,151350,1077,41643,101122,928273,219056,605448,103769
1997,FL,14654000,149996,1012,40459,100926,915613,213926,594492,107195
1998,FL,14916000,140016,967,36198,95447,887107,203105,579752,104250
1999,FL,15111244,129044,859,31969,89226,808674,181378,534105,93191
2000,FL,15982378,129777,903,31809,90008,780377,172898,518298,89181
2001,FL,16373330,130713,874,32867,90331,782517,176052,516548,89917
2002,FL,16691701,128721,911,32581,88476,777236,177242,511478,88516
2003,FL,16999181,124280,924,31523,85106,757696,170644,505489,81563
2004,FL,17385430,123754,946,29997,86199,727141,166332,482484,78325
2005,FL,17768191,125957,883,30141,88341,712998,164783,472912,75303
2006,FL,18089888,129602,1129,34147,87851,721101,170873,473774,76454
2007,FL,18251243,131878,1202,38155,86372,746249,181836,490783,73630
2008,FL,18328340,126256,1168,36268,82848,758889,188472,506902,63515
2009,FL,18537969,113541,1017,30911,76112,712010,181884,479867,50259
2010,FL,18838613,101969,987,26086,69523,669035,169119,458454,41462
2011,FL,19082262,98198,984,25622,66319,671200,170171,461408,39621
2012,FL,19320749,94087,1009,23889,63929,632988,153563,442095,37330
2013,FL,19600311,91993,972,23200,61054,607170,138915,433344,34911
2014,FL,19905569,91345,982,21621,61610,583774,121379,426197,36198
2015,FL,20244914,93625,1041,21137,63895,570270,109268,420341,40661
2016,FL,20656589,88700,1111,20175,59816,553812,100325,410352,43135
2017,FL,20976812,85606,1057,18597,58016,527125,88835,395375,42915
2018,FL,21299325,81980,1107,16884,55551,486017,71933,372919,41165
1979,GA,5118000,28594,877,10939,14562,248641,81579,145758,21304
1980,GA,5400851,29993,743,10670,16189,272652,91773,160764,20115
1981,GA,5569000,30527,960,10938,16267,282926,93121,171170,18635
1982,GA,5639000,26963,713,8716,15292,267097,84469,165049,17579
1983,GA,5732000,26179,483,8267,15408,232062,72614,143398,16050
1984,GA,5837000,27935,546,8414,16619,234621,70310,147251,17060
1985,GA,5976000,30311,620,9812,17292,275070,81070,171950,22050
1986,GA,6104000,35869,686,13056,19449,297130,88695,182171,26264
1987,GA,6222000,35868,735,13014,19438,324511,96572,197302,30637
1988,GA,6401000,42589,748,15593,23278,362376,103106,223768,35502
1989,GA,6436000,47357,820,17450,25937,407868,110215,255578,42075
1990,GA,6478216,48996,767,17067,27690,389165,104905,240623,43637
1991,GA,6623000,48894,849,17762,27483,381165,100317,240359,40489
1992,GA,6751000,49496,741,16863,28835,382934,97402,246619,38913
1993,GA,6917000,50019,789,17154,29628,378348,90423,246849,41076
1994,GA,7055000,47103,703,15703,28249,376926,81406,256208,39312
1995,GA,7201000,47317,683,14777,29318,385005,76324,264872,43809
1996,GA,7353000,46966,630,15100,28879,416986,81968,288803,46215
1997,GA,7486000,45408,563,15473,27044,388155,81320,262263,44572
1998,GA,7642000,43762,618,14308,26514,373717,75720,255459,42538
1999,GA,7788240,41585,583,12962,25721,359383,71429,247834,40120
2000,GA,8186453,41319,651,13250,25450,347630,68488,240440,38702
2001,GA,8405677,41671,598,14402,24491,347872,71799,238484,37589
