Postal Code,Title,Latitude,Longitude,Number of Victim Fatalities,Total Number of Fatalities,Number of Victims Injured,Total Number of Victims,Description,year
IL,Chicago Birthday Party Bus Shooting                             ,41.9,-87.6,0,0,5,5,Birthday party bus was dropping off party goers in South Shore Chicago when someone on the street started shooting at them. The bus driver drove off quickly protecting the targets. Unknown motivation. No suspects.                                                                                                                                                                                                                                                                                                                                     ,2016
IA,University of Iowa                                              ,41.7,-91.5,5,6,1,6,"On November 1, 1991, a 28-year-old astrophysics researcher opened fire on academics at a meeting at the University of Iowa in Iowa City. The shooter fatally wounded three professors on his dissertation committee, an academic affairs officer, and the researcher who received the award he felt he deserved, and as well as paralyzing a student employee before committing suicide.                                                                                                                                                                  ",1991
KS,Kansas City Home Invasion                                       ,39.1,-94.6,4,4,0,4,"Shooter killed four people at his next door neighbors house. He fled the scene, but was captured the next day, hiding in a ditch. It is seen as a random act.                                                                                                                                                                                                                                                                                                                                                                                             ",2016
KY,"Louisville, KY Family Murder-Suicide                            ",38.3,-85.8,3,4,0,3,Husband murders his wife and two children before committing suicide at their Kentucky home                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,2016
KY,Atlantis Plastics                                               ,37.8,-87.6,6,7,1,7,"On June 25, 2008, a 25-year-old factory worker at Atlantis Plastics in Henderson, Kentucky had been reprimanded by a supervisor and escorted out of his workplace. He returned with a gun and began shooting, killing his supervisor, five employees and wounded a sixth before committing suicide.                                                                                                                                                                                                                                                       ",2008
LA,New Orleans Downtown Post Office                                ,30.1,-89.9,0,0,4,4,"On December 14, 1988, a 39-year-old post office employee entered the main post office in downtown New Orleans, Louisiana, where he worked with a shotgun. He took his ex-girlfriend as a hostage and was able to hold off police and FBI agents for 13 hours until he surrendered. He injured three co-workers and one FBI agent.                                                                                                                                                                                                                         ",1988
LA,New Orleans gas station shoot-out                               ,30,-90.1,0,0,3,3,"Altercation broke out at a gas station in New Orleans, when the shooter shot and injured 3 people. One of the victims returned fire and injured the instigator.                                                                                                                                                                                                                                                                                                                                                                                           ",2016
ME,"Oakland, Maine                                                  ",44.5,-69.7,3,4,0,3,"A gunman shot his girlfriend,  his girlfriend's sister and her boyfriend to death in a Central Maine apartment building, leaving a young girl unharmed on the first floor before turning the weapon on himself. They all shared the brown clapboard home, which was divided into two apartments. The gunman and his girlfriend lived in the upstairs room of the apartment while the two other victims (his girlfriend's sister and her boyfriend) lived in the downstairs with their 3 year old daughter. All three victims were found on first floor.   ",2015
MA,Massachusetts Abortion Clinic                                   ,42.3,-71.1,2,2,5,7,"On December 30, 1994 a man entered a Planned Parenthood clinic, shot and killed the receptionist, and opened fire in the clinic, wounding three others. Several minutes later he entered a Preterm Health Services clinic and shot three people, killing one.                                                                                                                                                                                                                                                                                             ",1994
MA,"Chelsea, MA empty apartment party shooting                      ",42.4,-71,1,1,6,7,"Shooter fired upon party of ~50 people at an empty apartment in Chelsea, MA. 1 dead. 6 wounded. Shooters step brother was among those shot                                                                                                                                                                                                                                                                                                                                                                                                                ",2016
MI,Royal Oak Post Office                                           ,42.5,-83.2,4,5,5,9,"On November 14, 1991, a 31-year old former postal worker opened fire at the post office in Royal Oak, Michigan, his former workplace. He killed his four supervisors and wounded five co-workers before committing suicide.                                                                                                                                                                                                                                                                                                                               ",1991
MI,South Middle School Football Game                               ,43.4,-84,0,0,4,4,"On October 25, 2007, a 15-year-old student arrived at a football game at South Middle School in Saginaw, Michigan looking for his brother. He then ran into other students with which he had an ongoing confrontation and began shooting, wounding four before fleeing the scene. He was later arrested and charged with assault with intent to murder                                                                                                                                                                                                    ",2007
MI,Detroit Strip Club Shootout                                     ,42.3,-83,0,0,5,5,"Man apparently inappropriately touched a stripper. He was asked to leave. He waited outside, then shot the stripper and four other people.                                                                                                                                                                                                                                                                                                                                                                                                                ",2016
MN,Accent Signage Systems in Minneapolis                           ,45,-93.3,6,7,2,8,"On September 27, 2012, a 36-year old man recently fired at Accent Signage Systems in Minneapolis, went into the firm's building killing six people and injuring two others. The gunman then turned the gun on himself.                                                                                                                                                                                                                                                                                                                                    ",2012
MN,"Minneapolis, Minnesota                                          ",45,-93.3,0,0,5,5,"Five protesters were shot late Monday night near the Black Lives Matter encampment. A group of white supremacists showed up at the protest, and when about a dozen protesters attempted to herd the group away from the area, they opened fire on the protesters. Protesters have been camping out in front of the 4th Precinct since Nov. 15                                                                                                                                                                                                             ",2015
MS,"Iuka, Mississippi                                               ",34.7,-88.1,1,2,3,4,"Law enforcement officers in northeastern Mississippi stormed a house Saturday after an hours-long standoff with a gunman holed up inside, leading to a shootout that left one officer dead and three others wounded.The standoff started Friday afternoon when authorities responded to a domestic dispute call at the home near Iuka. But the man, holed up in his home with his wife and 10-year-old daughter, refused to come out, sparking the standoff with officers outside. The man suspected of firing on the officers was also killed.           ",2016
