CODE,Title,Latitude,Longitude,Total Number of Victims,Description,Day of Week,Shooter Race,Targeted Victim/s - Detailed
GA,Conyers                                                         ,33.7,-84,4,On May 31 2015 the shooter entered the business just before 5 pm and open fire. He appeared to randomly shoot at anyone in his path but turns and leaves the building when an armed citizen off-camera returns fire. After the shooter left the liquor store he  returned to his parents' home and shot and wounded them both.                                                                                                                                                                                                                         ,Sunday   ,White American or European American       ,A customer and a store clerk at the liquor store and his parents                                                                                                                                                                                                                    
GA,Clarkesville                                                    ,34.6,-83.5,4,On February 22 2015 A former police officer fatally shot his ex-wife and her friend then wounded a local sheriff and a deputy at his ex-wife's home on Sunday before he was killed by the return fire from law enforcement.                                                                                                                                                                                                                                                                                                                            ,Sunday   ,White American or European American       ,The shooter's ex-wife his ex-wife's friend a local sheriff and a sheriff's deputy                                                                                                                                                                                                 
GA,Atlanta Nightclub shooting                                      ,33.7,-84.4,4,Two groups of people were asked to leave a nightclub when they started arguing. They were outside the club when they started shooting. Five people were injured.                                                                                                                                                                                                                                                                                                                                                                                          ,Tuesday  ,Unknown                                   ,Five innocent people were injured.                                                                                                                                                                                                                                                   
GA,Douglasville                                                    ,33.7,-84.7,6,On February 7 2015 a man entered the house of his ex-wife and shot her two of their children her boyfriend and wounded two of her children. He then went onto the street and shot himself.                                                                                                                                                                                                                                                                                                                                                           ,Saturday ,Black American or African American        ,The shooter's ex-wife two of their children his ex-wife's boyfriend and two of his ex-wife's children                                                                                                                                                                             
GA,Atlanta Post Office                                             ,33.8,-84.4,3,On March 6 1985 a 30-year-old employee at the Atlanta Post Office opened fire in the mail sorting area killing two of his coworkers and wounding a third one before he was subdue by other postal workers.                                                                                                                                                                                                                                                                                                                                             ,Wednesday,Black American or African American        ,Coworkers at the post office                                                                                                                                                                                                                                                         
GA,Rome                                                            ,34.3,-85.2,4,On April 7 2015 the man entered 20 Copeland St. about 11:10 p.m. Tuesday and demanded cash from one of victim. The man then fired a handgun at the victim killing him. Police said at least two men intended to rob people at the Copeland Street home.                                                                                                                                                                                                                                                                                                ,Tuesday  ,Black American or African American        ,Fourpeople at home                                                                                                                                                                                                                                                                   
GA,Kennesaw FedEx                                                  ,34,-84.6,6,On the morning of April 29 2014 a 19 year-old package handler at the FedEx in Kennesaw Georgia arrived at his place of work and began shooting. He wounded six of his coworkers before committing suicide.                                                                                                                                                                                                                                                                                                                                             ,Tuesday  ,White American or European American       ,FedEx employees                                                                                                                                                                                                                                                                      
GA,Offices of All-Tech Investment Group and Momentum Securities    ,33.8,-84.4,21,On July 29 1999 after murdering his wife and children in their home in Atlanta Georgia over the prior two days a 44-year-old day trader entered a stock exchange office killing four and moving on to another office where he killed an additional five and wounded twelve. He was pursued by police until he committed suicide at a gas station.                                                                                                                                                                                                   ,Thursday ,White American or European American       ,Stock brokers                                                                                                                                                                                                                                                                        
ID,Moscow                                                          ,46.7,-117,4,On Friday January 10 2015 a man shot his adoptive mother in her house walked to his landlord's nearby office and shot and killed him and injured another person in the office. He then drove to an Arby's that his parents frequented asked to see the manager and shot and killed her.                                                                                                                                                                                                                                                             ,Friday   ,Asian American                            ,The shooter's adoptive mother landlord and an Arby's manager                                                                                                                                                                                                                       
IL,Northern Illinois University                                    ,41.9,-88.7,22,On February 14 2008 a 27-year old former student of the Northern Illinois University in Dekalb Illinois forcefully entered an oceanography lecture hall and began shooting at students and the professor. The shooter killed five and wounded seventeen before committing suicide. The shooter was said to have been taking medication for anxiety depression and insomnia but had stopped the medication shortly before the incident.                                                                                                                ,Thursday ,White American or European American       ,Students professor                                                                                                                                                                                                                                                                  
