Name,Genre,Year
4 Pics Mystery: Evolution                   ,Action          ,2014
4 Pics Mystery: Renaissance                 ,Action          ,2014
4 Pics Mystery: Revolution                  ,Action          ,2014
4 Pics Mystery: Variety                     ,Action          ,2014
4 Play Collection - Dark Mysteries          ,Misc            ,2014
4 Play Collection: Treasure Hunters         ,Puzzle          ,2014
4 Scenes 1 Movie                            ,Misc            ,2013
4 Travellers: Play French                   ,Misc            ,2010
4 Travellers: Play Spanish                  ,Misc            ,2010
4 Wheel Thunder                             ,Racing          ,2000
4-4-2 Soccer                                ,Sports          ,1997
4-in-1 Fun Pak                              ,Misc            ,1992
4-in-1 Funpak: Volume II                    ,Misc            ,1993
40 Winks                                    ,Platform        ,1999
40 Winks                                    ,Platform        ,2010
40-in-1 Explosive Megamix                   ,Misc            ,2012
428: Fuusa Sareta Shibuya de                ,Adventure       ,2008
428: Fuusa Sareta Shibuya de                ,Adventure       ,2009
428: Fuusa Sareta Shibuya de                ,Adventure       ,2011
442 Fuball Manager                          ,Sports          ,2002
4444                                        ,Misc            ,2014
4D Boxing                                   ,Sports          ,1991
4PM                                         ,Adventure       ,2014
4X4 EVO 2                                   ,Racing          ,2001
4X4 EVO 2                                   ,Racing          ,2002
4x4 EVO 2                                   ,Racing          ,2003
4x4 Evolution                               ,Racing          ,2000
4x4 Evolution                               ,Racing          ,2001
4x4 Hummer                                  ,Racing          ,2009
4x4 Jam                                     ,Racing          ,2010
4X4 World Trophy                            ,Racing          ,2000
5 Arcade Gems                               ,Misc            ,2010
5 in 1 Mahjong                              ,Puzzle          ,2011
5 in 1 Solitaire                            ,Misc            ,2010
5 In One Fun Pak                            ,Misc            ,1994
5 Spots Party                               ,Puzzle          ,2009
5 Star Racing                               ,Racing          ,2003
5-in-1 Arcade Hits                          ,Misc            ,2010
5-Kyuu kara 1-Kyuu Zenkyuu Taiou: Saishin Ka,Misc            ,2009
50 Cent: Blood on the Sand                  ,Shooter         ,2009
50 Cent: Bulletproof                        ,Action          ,2005
50 Cent: Bulletproof                        ,Action          ,2006
50 Classic Games                            ,Misc            ,2009
50 Classic Games                            ,Misc            ,2012
50 More Classic Games                       ,Misc            ,2011
505 Tangram                                 ,Puzzle          ,2011
6 Great Games                               ,Misc            ,2011
6 in 1                                      ,Misc            ,1992
6 in 1 Dictionary with Camera Function      ,Misc            ,2009
60 seconds!                                 ,Simulation      ,2015
6180 the moon                               ,Platform        ,2013
6180 the moon                               ,Platform        ,2015
64 de Hakken! Tamagotchi Minna de Tamagotchi,Misc            ,1997
64 Hanafuda: Tenshi no Yakusoku             ,Misc            ,1999
64 Oozumou                                  ,Fighting        ,1997
64 Oozumou 2                                ,Fighting        ,1999
64 Trump Collection: Alice no Waku Waku Trum,Misc            ,1998
688 Attack Sub                              ,Simulation      ,1989
688 Attack Sub                              ,Simulation      ,1991
7 Blades                                    ,Action          ,2001
7 Card Games                                ,Misc            ,2010
7 Days to Die                               ,Action          ,2013
7 Days to Die                               ,Action          ,2016
7 Roses: A Darkness Rises                   ,Misc            ,2015
7 Sins                                      ,Simulation      ,2005
7 Wonders II                                ,Puzzle          ,2007
7 Wonders II                                ,Puzzle          ,2010
7 Wonders of the Ancient World              ,Puzzle          ,2007
7 Wonders of the Ancient World              ,Puzzle          ,2009
7 Wonders: Treasures of Seven               ,Puzzle          ,2008
7 Wonders: Treasures of Seven               ,Puzzle          ,2011
7.62 High Calibre                           ,Misc            ,2007
700 Banjin no Atama o Yokusuru: Chou Keisan ,Misc            ,2009
720                                         ,Sports          ,1999
720 Degrees                                 ,Sports          ,1989
757 Jetliner                                ,Simulation      ,2011
77: Beyond the Milky Way                    ,Adventure       ,2010
7th Dragon                                  ,Role-Playing    ,2009
7th Dragon 2020                             ,Role-Playing    ,2011
7th Dragon 2020-II                          ,Role-Playing    ,2013
7th Dragon III Code: VFD                    ,Role-Playing    ,2016
7th Legion                                  ,Strategy        ,1997
8 Eyes                                      ,Platform        ,1990
8-Bit Commando                              ,Action          ,2014
8Ball Allstars                              ,Sports          ,2010
8bit Doves                                  ,Action          ,2014
8BitBoy                                     ,Misc            ,2014
9 Clues 2: The Ward                         ,Puzzle          ,2015
9 The Dark Side                             ,Action          ,2013
90 Minutes: European Prime Goal             ,Sports          ,1995
90 Minutes: Sega Championship Football      ,Sports          ,2001
90's Pool                                   ,Misc            ,2012
911 Operator                                ,Simulation      ,2000
99 Levels to Hell                           ,Misc            ,2012
99 Levels to Hell                           ,Misc            ,2014
99 no Namida                                ,Adventure       ,2008
99 Spirits                                  ,Misc            ,2013
99 Spirits - Cage of Night                  ,Adventure       ,2014
"999: Nine Hours, Nine Persons, Nine Doors   ",Adventure       ,2010
99Bullets                                   ,Shooter         ,2011
9: The Last Resort                          ,Adventure       ,1996
9Dragons                                    ,Role-Playing    ,2007
9th Company: Roots of Terror                ,Strategy        ,2008
@field                                      ,Misc            ,2012
@Simple DL Series Vol. 1 : THE Misshitsu kar,Adventure       ,2011
@Simple DS Series Vol. 1: The Misshitsukara ,Adventure       ,2009
@Simple DS Series Vol. 2: The Misshitsukara ,Adventure       ,2009
@Simple DS Series Vol. 4: The Misshitsukara ,Adventure       ,2010
@Simple DS Series Vol. 6: The Misshitsukara ,Adventure       ,2010
[Prototype]                                 ,Action          ,2009
[Prototype]                                 ,Action          ,2010
_summer ##                                  ,Adventure       ,2006
A Bird Story                                ,Misc            ,2013
A Bomb's Way                                ,Platform        ,2009
A Boy and His Blob                          ,Platform        ,2009
A Boy and His Blob: Trouble on Blobolonia   ,Platform        ,1989
A Boy and His Blob: Trouble on Blobolonia   ,Platform        ,2009
A Bug's Life                                ,Platform        ,1998
A Bug's Life                                ,Platform        ,1999
A Bug's Life                                ,Platform        ,2010
A Bug's Life: Active Play                   ,Misc            ,1998
A Bug's Life: Activity Centre               ,Misc            ,1999
A Collection of Activision Classic Games for,Misc            ,1998
A Collection of Intellivision Classic Games ,Misc            ,1999
A Fading Melody                             ,Action          ,2009
A Fairy Tale                                ,Puzzle          ,2011
A Farewell to Dragons                       ,Role-Playing    ,2009
A Fistful of Gun                            ,Action          ,2015
A Frog Game                                 ,Misc            ,2009
A Game About My Cat                         ,Sports          ,2011
A Game of Tennis                            ,Misc            ,2009
A Game of Thrones - Genesis                 ,Strategy        ,1996
A Game of Thrones: Genesis                  ,Strategy        ,2011
A Golden Wake                               ,Adventure       ,2014
A Good Librarian Like a Good Shepherd: Libra,Action          ,2015
A grande bagunca espacial - The big space me,Action          ,2011
A Great Easter Egg Hunt                     ,Platform        ,2009
A Hard Game Without Zombies                 ,Platform        ,2011
A Kappa's Trail                             ,Puzzle          ,2010
A Killer's Dream                            ,Misc            ,2009
A King's Tale: Final Fantasy XV             ,Action          ,2016
A Kingdom for Keflings                      ,Simulation      ,2008
A Kingdom for Keflings                      ,Strategy        ,2010
A Kitchen Sink War                          ,Shooter         ,2008
A Line in the Sand                          ,Strategy        ,1992
A Little War                                ,Misc            ,2014
A llI S.V.: A Ressha de Gyoukou 3 Super Vers,Simulation      ,1995
A Mind Forever Voyaging                     ,Adventure       ,1985
A Mind Forever Voyaging                     ,Adventure       ,1986
A Monsteca Corral: Monsters vs. Robots      ,Strategy        ,2010
A Morons Challenge                          ,Puzzle          ,2009
A New Beginning                             ,Adventure       ,2012
A Nightmare on Elm Street                   ,Action          ,1989
A Nightmare on Elm Street                   ,Platform        ,1990
A Perfect Massage                           ,Misc            ,2009
A Pimp RPG                                  ,Role-Playing    ,2011
A Reflex Game: Xhake Shake                  ,Misc            ,2014
A Ressha de Gyoukou                         ,Simulation      ,1991
A Ressha de Gyoukou 2001                    ,Simulation      ,2001
A Ressha de Ikou DS                         ,Simulation      ,2009
A Ressha de Ikou DS: Navigation Pack        ,Simulation      ,2010
A Robots Conundrum                          ,Action          ,2009
A Sound of Thunder                          ,Action          ,2005
A Space Shooter for 2 Bucks!                ,Shooter         ,2010
A Story About My Uncle                      ,Misc            ,2014
A Topsy Turvy Life: The Turvys Strike Back  ,Shooter         ,2010
A Topsy Turvy Life: Turvy Drops             ,Puzzle          ,2010
A Valley Without Wind                       ,Action          ,2012
A Vampyre Story                             ,Adventure       ,2008
A Virus Named TOM                           ,Misc            ,2012
A Witch's Tale                              ,Role-Playing    ,2009
A Wizard's Lizard                           ,Role-Playing    ,2014
A Wizard's Odyssey                          ,Action          ,2009
A World of Keflings                         ,Simulation      ,2010
A World of Keflings: It Came From Outer Spac,Strategy        ,2011
A-10 Cuba!                                  ,Misc            ,1996
A-10 Cuba!                                  ,Simulation      ,1996
A-10 Tank Killer                            ,Strategy        ,1989
A-Force                                     ,Shooter         ,1993
A-GA                                        ,Adventure       ,2004
A-Maze!-ING                                 ,Misc            ,2009
A-Men                                       ,Action          ,2013
A-Rank Thunder Tanjouhen                    ,Adventure       ,1993
A-Ressha de Ikou Z: Mezase! Tairiku Oudan   ,Simulation      ,1999
A-Sock-Ellipse Now!                         ,Action          ,2003
A-Train                                     ,Simulation      ,1992
A-Train                                     ,Strategy        ,1996
A-Train 3D: City Simulator                  ,Simulation      ,2015
A-Train 3D: City Simulator Neo              ,Simulation      ,2016
A-Train 6                                   ,Strategy        ,2004
A-Train 8                                   ,Simulation      ,2009
A-Train 9                                   ,Simulation      ,2014
A-Train HX                                  ,Simulation      ,2008
A. IV Evolution: A Ressha de Ikou 4         ,Strategy        ,1994
A.C.E.: Another Century's Episode           ,Simulation      ,2005
A.C.E.: Another Century's Episode 2         ,Simulation      ,2006
A.C.E.: Another Century's Episode 2 - Specia,Simulation      ,2007
A.C.E.: Another Century's Episode 3: The Fin,Simulation      ,2007
A.C.E.: Another Century's Episode Portable  ,Simulation      ,2011
A.C.E.: Another Century's Episode R         ,Simulation      ,2010
A.I.M.                                      ,Role-Playing    ,2004
A.I.M. 2: Clan Wars                         ,Role-Playing    ,2008
A.I.M. Racing                               ,Racing          ,2007
A.I.R. Play                                 ,Sports          ,2009
A.III: A Ressha de Gyoukou 3                ,Simulation      ,1993
A.III: A Ressha de Gyoukou 3                ,Simulation      ,2007
A.N.N.E                                     ,Misc            ,2015
A.P.B.                                      ,Action          ,1991
A.R.E.S. Extinction Agenda                  ,Platform        ,2010
A.R.E.S. Extinction Agenda EX               ,Platform        ,2014
A.S.P. Air Strike Patrol                    ,Simulation      ,1994
A/X-101                                     ,Action          ,1994
A2 racer                                    ,Racing          ,1996
A2 Racer 2                                  ,Racing          ,1998
A2 Racer 3                                  ,Racing          ,2000
A2 Racer II                                 ,Racing          ,1998
A2 Racer III: Europa Tour                   ,Racing          ,2002
A340 500/600                                ,Simulation      ,2006
A5: A Ressha de Ikou 5                      ,Strategy        ,1997
Aa Harimadana                               ,Sports          ,1993
Aa Harimanada                               ,Fighting        ,1993
Aa Megami-samaa                             ,Adventure       ,2007
Aa-ojousama!                                ,Adventure       ,2007
AaAaAA!!! - A Reckless Disregard for Gravity,Action          ,2012
AaaaaAAaaaAAAaaAAAAaAAAAA!!! A Reckless Disr,Sports          ,2009
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,Action          ,2014
AAAHH!!! Real Monsters                      ,Platform        ,1995
Aaargh                                      ,Action          ,1988
Aaargh!                                     ,Action          ,1988
Aah Impossible Rescue                       ,Action          ,2010
Aahh! Spot the Difference                   ,Misc            ,2012
Aardvark                                    ,Misc            ,2009
Aargon Deluxe                               ,Puzzle          ,2001
Aaron vs. Ruth                              ,Sports          ,1997
Aaron's Ping-Pong                           ,Misc            ,2008
Aaru's Awakening                            ,Action          ,2013
Aaru's Awakening                            ,Action          ,2014
Abaddon: Retribution                        ,Shooter         ,2010
Abadox: The Deadly Inner War                ,Shooter         ,1990
AbalaBurn                                   ,Action          ,1998
Aban Hawkins & the 1000 SPIKES              ,Action          ,2011
Aban Hawkins & the 1001 Spikes              ,Misc            ,2011
Aban Hawkins & the 1001 Spikes              ,Misc            ,2014
Abandoned Places: A Time for Heroes         ,Role-Playing    ,1992
Abandoner                                   ,Adventure       ,2004
